t;tr;ch1;ch2;ch3;ch4;sum
652;1;9;14;17;2;42
653;1;10;13;11;17;51
654;1;12;14;11;21;58
655;1;17;14;10;17;58
656;1;8;13;16;10;47
657;1;2;9;13;11;35
658;1;10;9;13;15;47
659;1;22;12;18;10;62
660;1;15;12;17;16;60
661;1;11;11;19;9;50
662;1;9;11;14;13;47
663;1;11;13;12;8;44
664;1;12;7;19;11;49
665;1;8;12;12;17;49
666;1;5;9;16;8;38
667;1;10;11;10;9;40
668;1;12;11;17;10;50
669;1;8;14;14;18;54
670;1;15;8;7;13;43
671;1;6;12;11;10;39
672;1;8;12;11;7;38
673;1;10;12;15;6;43
674;1;7;16;14;13;50
675;1;9;11;9;14;43
676;1;7;13;12;14;46
677;1;5;15;6;10;36
678;1;9;13;11;15;48
679;1;12;11;14;12;49
680;1;9;13;12;9;43
681;1;13;9;6;13;41
682;1;6;11;12;20;49
683;1;11;15;17;10;53
684;1;12;14;14;6;46
685;1;5;10;10;10;35
686;1;9;14;12;7;42
687;1;14;12;13;14;53
688;1;9;17;14;7;47
689;1;14;13;12;10;49
690;1;10;6;14;9;39
691;1;7;4;10;7;28
692;1;11;11;14;11;47
693;1;13;13;11;16;53
694;1;6;12;11;8;37
695;1;9;12;20;7;48
696;1;15;15;20;9;59
697;1;13;8;18;3;42
698;1;6;13;12;8;39
699;1;15;15;9;9;48
700;1;3;10;19;12;44
701;1;11;15;8;13;47
702;1;8;13;15;10;46
703;1;15;16;6;11;48
704;1;7;18;15;12;52
705;1;7;13;11;9;40
706;1;8;10;18;7;43
707;1;11;10;12;12;45
708;1;11;15;10;16;52
709;1;11;19;14;10;54
710;1;7;9;12;7;35
711;1;10;10;14;16;50
712;1;12;16;16;12;56
713;1;7;13;10;11;41
714;1;9;11;4;16;40
715;1;10;15;18;14;57
716;1;10;11;8;13;42
717;1;12;8;8;12;40
718;1;7;12;9;12;40
719;1;4;15;11;11;41
720;1;7;17;18;11;53
721;1;10;11;9;6;36
722;1;8;13;10;13;44
723;1;12;9;10;13;44
724;1;5;10;9;16;40
725;1;4;14;12;12;42
726;1;8;8;13;13;42
727;3;31;31;33;28;123
728;3;26;27;25;16;94
729;3;31;33;38;38;140
730;3;28;29;34;24;115
731;3;15;25;23;37;100
732;3;20;19;26;32;97
733;3;26;25;24;26;101
734;3;21;22;27;31;101
735;3;16;20;17;24;77
736;3;26;23;34;28;111
737;3;17;24;25;25;91
738;3;12;17;25;20;74
739;3;23;23;22;25;93
740;3;17;24;16;22;79
741;3;15;10;18;25;68
742;3;15;18;21;15;69
743;3;20;20;13;19;72
744;3;24;23;24;15;86
745;3;18;20;13;19;70
746;3;11;19;16;19;65
747;3;15;26;12;22;75
748;3;18;25;12;14;69
749;3;21;23;17;15;76
750;3;13;11;15;19;58
751;3;11;18;11;16;56
752;3;11;14;14;14;53
753;3;15;21;11;16;63
754;3;14;12;17;13;56
755;3;6;18;15;18;57
756;3;12;9;16;12;49
757;3;13;22;18;27;80
758;3;14;12;18;15;59
759;3;10;15;14;16;55
760;3;15;11;14;14;54
761;3;14;15;14;19;62
762;3;13;16;21;11;61
763;3;13;9;11;19;52
764;3;7;20;21;22;70
765;3;17;17;17;10;61
766;3;11;17;13;10;51
767;3;8;18;11;11;48
768;3;12;14;13;9;48
769;3;11;10;9;6;36
770;3;11;11;15;13;50
771;3;14;14;9;14;51
772;3;10;14;19;19;62
773;3;11;15;12;4;42
774;3;15;13;12;15;55
775;3;12;13;13;9;47
776;3;13;14;9;10;46
777;3;19;9;15;13;56
778;3;17;13;6;10;46
779;3;14;11;13;12;50
780;3;6;10;12;8;36
781;3;12;15;3;19;49
782;3;10;11;13;11;45
783;3;8;10;7;8;33
784;3;8;11;13;7;39
785;3;9;13;8;8;38
786;3;8;7;12;11;38
787;3;16;14;11;15;56
788;3;7;9;15;12;43
789;3;11;12;17;5;45
790;3;11;7;16;13;47
791;3;11;16;18;8;53
792;3;11;6;10;6;33
793;3;7;11;15;9;42
794;3;9;15;13;9;46
795;3;11;9;17;8;45
796;3;6;9;12;11;38
797;3;7;16;12;14;49
798;3;12;10;9;13;44
799;3;10;7;12;8;37
800;3;8;13;12;10;43
801;3;10;7;21;15;53
802;3;11;18;14;11;54
803;3;8;10;20;16;54
804;3;11;10;15;16;52
805;3;9;16;15;9;49
806;3;12;16;10;12;50
807;3;8;12;11;8;39
808;3;11;12;8;12;43
809;3;4;14;10;14;42
810;3;13;11;13;9;46
811;3;11;14;14;11;50
812;3;7;8;12;13;40
813;3;11;9;12;10;42
814;3;9;15;10;15;49
815;3;4;9;9;13;35
816;3;14;5;9;15;43
817;3;14;9;15;9;47
818;3;9;12;10;8;39
819;3;7;8;16;13;44
820;3;8;19;12;15;54
821;3;5;17;13;6;41
822;3;5;13;13;10;41
823;3;6;7;12;14;39
824;3;9;10;7;9;35
825;3;8;5;7;12;32
826;3;8;12;16;13;49
827;3;12;16;15;10;53
828;3;13;8;7;13;41
829;3;8;10;19;15;52
830;3;8;11;8;11;38
831;3;9;15;12;11;47
832;3;5;11;13;15;44
833;3;5;14;11;7;37
834;3;10;11;7;10;38
835;3;5;9;7;7;28
836;3;5;10;7;16;38
837;3;10;14;7;11;42
838;3;13;8;11;8;40
839;3;16;14;15;15;60
840;3;6;11;14;12;43
841;3;9;11;9;13;42
842;3;12;11;10;8;41
843;3;13;12;12;15;52
844;3;6;9;15;13;43
845;3;13;9;16;12;50
846;3;10;13;11;8;42
847;3;7;8;10;10;35
848;3;12;20;5;8;45
849;3;8;13;11;6;38
850;6;8;11;15;17;51
851;6;20;12;14;7;53
852;6;14;14;12;12;52
853;6;4;16;20;8;48
854;6;4;11;8;8;31
855;6;13;10;13;10;46
856;6;7;13;13;10;43
857;6;5;9;15;11;40
858;6;9;7;14;13;43
859;6;10;7;10;17;44
860;6;10;9;11;9;39
861;6;7;15;10;9;41
862;6;12;14;8;7;41
863;6;10;10;18;9;47
864;6;13;16;4;10;43
865;6;9;8;5;15;37
866;6;11;9;13;8;41
867;6;3;13;9;10;35
868;6;5;12;12;11;40
869;6;7;10;9;10;36
870;6;5;12;13;14;44
871;6;11;5;14;11;41
872;6;10;13;9;16;48
873;6;7;9;10;7;33
874;6;13;7;4;7;31
875;6;13;8;13;16;50
876;6;9;11;16;15;51
877;6;6;7;12;15;40
878;6;12;18;8;9;47
879;6;5;10;16;11;42
880;6;12;10;8;13;43
881;6;8;13;7;13;41
882;6;11;16;9;9;45
883;6;8;15;10;4;37
884;6;3;11;11;4;29
885;6;6;7;9;10;32
886;6;9;8;8;8;33
887;6;8;11;13;10;42
888;6;7;12;11;7;37
889;6;12;9;7;12;40
890;6;9;10;18;8;45
891;6;12;12;11;8;43
892;6;17;8;12;6;43
893;6;10;12;13;5;40
894;6;10;12;3;16;41
895;6;15;9;17;5;46
896;6;8;10;10;11;39
897;6;11;15;14;13;53
898;6;8;14;7;10;39
899;6;3;22;13;13;51
900;6;10;7;8;15;40
901;6;12;8;5;13;38
902;6;7;12;8;14;41
903;6;7;6;7;8;28
904;6;4;5;14;14;37
905;6;11;13;13;5;42
906;6;9;17;10;12;48
907;6;13;14;15;17;59
908;6;7;15;7;12;41
909;6;10;9;7;12;38
910;6;7;13;14;13;47
911;6;11;16;21;11;59
912;6;7;11;15;12;45
913;6;10;8;14;12;44
914;6;8;11;10;18;47
915;6;9;11;16;8;44
916;7;28;22;23;31;104
917;7;19;15;28;24;86
918;7;17;25;24;15;81
919;7;13;20;29;22;84
920;7;12;22;19;18;71
921;7;28;14;24;20;86
922;7;17;21;16;16;70
923;7;13;25;20;23;81
924;7;19;21;22;15;77
925;7;14;15;22;19;70
926;7;20;17;13;18;68
927;7;19;21;20;11;71
928;7;15;21;10;11;57
929;7;16;18;16;18;68
930;7;11;15;15;17;58
931;7;15;11;17;15;58
932;7;13;10;21;11;55
933;7;11;19;17;19;66
934;7;10;17;22;11;60
935;7;14;23;19;13;69
936;7;14;9;12;14;49
937;7;16;17;9;17;59
938;7;19;13;9;15;56
939;7;10;14;8;10;42
940;7;17;5;17;19;58
941;7;7;6;10;11;34
942;7;9;13;16;17;55
943;7;9;19;17;25;70
944;7;19;7;7;14;47
945;7;13;11;17;13;54
946;7;9;19;11;14;53
947;7;8;12;17;12;49
948;7;13;13;16;18;60
949;7;15;17;17;11;60
950;7;12;9;12;15;48
951;7;12;17;26;6;61
952;7;8;18;10;13;49
953;7;10;10;10;16;46
954;7;11;7;18;11;47
955;7;7;11;16;6;40
956;7;11;14;14;12;51
957;7;16;16;9;14;55
958;7;13;15;14;11;53
959;7;9;12;12;11;44
960;7;7;5;15;10;37
961;7;10;14;14;6;44
962;7;10;21;14;13;58
963;7;12;7;8;15;42
964;7;10;14;12;10;46
965;7;11;16;15;14;56
966;7;8;5;13;12;38
967;7;11;6;17;15;49
968;7;8;10;12;8;38
969;7;14;12;16;13;55
970;7;9;14;12;19;54
971;7;7;20;11;11;49
972;7;13;14;10;9;46
973;7;14;10;11;9;44
974;7;5;13;12;10;40
975;7;9;5;14;11;39
976;7;11;5;14;8;38
977;7;9;17;16;10;52
978;7;10;9;9;14;42
979;7;9;14;8;14;45
980;7;11;9;6;12;38
981;7;14;10;5;14;43
982;7;8;13;6;11;38
983;7;11;12;9;15;47
984;7;8;15;12;12;47
985;7;9;17;20;17;63
986;7;11;6;14;5;36
987;7;8;7;12;11;38
988;7;13;12;4;9;38
989;7;12;13;11;11;47
990;7;7;9;13;6;35
991;7;14;13;19;4;50
992;7;11;8;12;14;45
